archivo,filas,columnas,pistas,total_candidatos,llamadas_recursivas,rectangulos_probados,tiempo_promedio,tiempo_minimo,tiempo_maximo,memoria_pico_promedio_kb,encontro_solucion
puzzles\puzzle_10x10.txt,10,10,15,112,325,2410,0.5361456999788061,0.4606340000173077,0.6292362000094727,12.0484375,True
puzzles\puzzle_4x4.txt,4,4,4,7,5,4,0.00021100002340972422,0.000170299899764359,0.00029500003438442945,1.0859375,True
puzzles\puzzle_5x5.txt,5,5,5,13,6,9,0.0010071800323203206,0.0009425999596714973,0.0012115000281482935,3.1640625,True
puzzles\puzzle_6x6.txt,6,6,8,28,11,28,0.004545180010609329,0.0039579999865964055,0.006025600014254451,3.2734375,True
puzzles\puzzle_7x7.txt,7,7,9,47,56,343,0.029535759962163864,0.02716509997844696,0.03560179995838553,3.4140625,True
puzzles\puzzle_8x8.txt,8,8,11,69,232,2151,0.22575183999724685,0.21558880002703518,0.2451417000265792,3.5703125,True
puzzles\puzzle_9x9.txt,9,9,12,82,137,1037,0.1456125599797815,0.1390347999986261,0.16501110000535846,11.0546875,True
puzzles\puzzle_sin_solucion.txt,3,3,2,2,1,0,6.520003080368042e-06,5.200039595365524e-06,9.70007386058569e-06,0.046875,False
