archivo,filas,columnas,pistas,total_candidatos,llamadas_recursivas,rectangulos_probados,estados_memoizados,podas_memoizacion,tiempo_promedio,tiempo_minimo,tiempo_maximo,memoria_pico_promedio_kb,encontro_solucion
puzzles\puzzle_10x10.txt,10,10,15,112,325,2410,309,0,0.061452380008995534,0.05626500002108514,0.06709979998413473,60.6375,True
puzzles\puzzle_4x4.txt,4,4,4,7,5,4,0,0,7.047997787594795e-05,6.180000491440296e-05,8.239992894232273e-05,0.6640625,True
puzzles\puzzle_5x5.txt,5,5,5,13,6,9,0,0,0.0001692999852821231,0.00016469997353851795,0.0001810999820008874,0.8671875,True
puzzles\puzzle_6x6.txt,6,6,8,28,11,28,2,0,0.0007586399791762233,0.0005054998910054564,0.0011331000132486224,1.3203125,True
puzzles\puzzle_7x7.txt,7,7,9,47,53,259,37,6,0.006386099988594652,0.005247800028882921,0.00811019993852824,4.609375,True
puzzles\puzzle_8x8.txt,8,8,11,69,204,1846,190,2,0.04373091999441385,0.04184680001344532,0.04847679997328669,16.3671875,True
puzzles\puzzle_9x9.txt,9,9,12,82,137,1037,124,0,0.02506263998802751,0.023737499956041574,0.028074100031517446,14.23828125,True
puzzles\puzzle_sin_solucion.txt,3,3,2,2,1,0,1,0,8.539971895515919e-06,6.7999353632330894e-06,1.1999974958598614e-05,0.2578125,False
